code;libellé;01/07/2021
BAD1;Non-TIT. / Administrateur
NCX5;AUTRES / Agent sur contrat du parcours contractualisé d'accompagnement vers l'emploi et l'autonomie (PACEA) (culturel)
NEX2;AUTRES / Agent sur contrat unique d'insertion CUI-CAE ou parcours emploi compétences (médico-technique) non compris le contrat emploi d'avenir
NEX3;AUTRES / Agent sur contrat emploi d'avenir (médico-technique)
NEX4;AUTRES / Agent sur P.A.C.T.E. (médico-technique)
NEX5;AUTRES / Agent sur contrat du parcours contractualisé d'accompagnement vers l'emploi et l'autonomie (PACEA) (médico-technique)
NHX2;AUTRES / Agent sur contrat unique d'insertion CUI-CAE ou parcours emploi compétences (hors filière) non compris le contrat emploi d'avenir
NHX3;AUTRES / Agent sur contrat emploi d'avenir (hors filière)
NHX4;AUTRES / Agent sur P.A.C.T.E. (hors filière)
NHX5;AUTRES / Agent sur contrat du parcours contractualisé d'accompagnement vers l'emploi et l'autonomie (PACEA) (hors filière)
NMX2;AUTRES / Agent sur contrat unique d'insertion CUI-CAE ou parcours emploi compétences (social) non compris le contrat emploi d'avenir
NMX3;AUTRES / Agent sur contrat emploi d'avenir (social)
NMX4;AUTRES / Agent sur P.A.C.T.E. (social)
NMX5;AUTRES / Agent sur contrat du parcours contractualisé d'accompagnement vers l'emploi et l'autonomie (PACEA) (social)
NNX2;AUTRES / Agent sur contrat unique d'insertion CUI-CAE ou parcours emploi compétences (animation) non compris le contrat emploi d'avenir
NNX3;AUTRES / Agent sur contrat emploi d'avenir (animation)
NNX4;AUTRES / Agent sur P.A.C.T.E. (animation)
NNX5;AUTRES / Agent sur contrat du parcours contractualisé d'accompagnement vers l'emploi et l'autonomie (PACEA) (animation)
NOX2;AUTRES / Agent sur contrat unique d'insertion CUI-CAE ou parcours emploi compétences (médico-social) non compris le contrat emploi d'avenir
NOX3;AUTRES / Agent sur contrat emploi d'avenir (médico-social)
NOX4;AUTRES / Agent sur P.A.C.T.E. (médico-social)
NOX5;AUTRES / Agent sur contrat du parcours contractualisé d'accompagnement vers l'emploi et l'autonomie (PACEA) (médico-social)
NPX2;AUTRES / Agent sur contrat unique d'insertion CUI-CAE ou parcours emploi compétences (sécurité) non compris le contrat emploi d'avenir
NPX3;AUTRES / Agent sur contrat emploi d'avenir (sécurité)
NPX4;AUTRES / Agent sur P.A.C.T.E. (sécurité)
NPX5;AUTRES / Agent sur contrat du parcours contractualisé d'accompagnement vers l'emploi et l'autonomie (PACEA) (sécurité)
NRX2;AUTRES / Agent sur contrat unique d'insertion CUI-CAE ou parcours emploi compétences (incendie-secours) non compris le contrat emploi d'avenir
NRX3;AUTRES / Agent sur contrat emploi d'avenir (incendie-secours)
NRX4;AUTRES / Agent sur P.A.C.T.E. (incendie-secours)
NRX5;AUTRES / Agent sur contrat du parcours contractualisé d'accompagnement vers l'emploi et l'autonomie (PACEA) (incendie-secours)
NSX2;AUTRES / Agent sur contrat unique d'insertion-CUI-CAE ou parcours emploi compétences (sportif) non compris le contrat emploi d'avenir
NSX3;AUTRES / Agent sur contrat emploi d'avenir (sportif)
NSX4;AUTRES / Agent sur P.A.C.T.E. (sportif)
NSX5;AUTRES / Agent sur contrat du parcours contractualisé d'accompagnement vers l'emploi et l'autonomie (PACEA) (culturel)
NTX2;AUTRES / Agent sur contrat unique d'insertion CUI-CAE ou parcours emploi compétences (technique) non compris le contrat emploi d'avenir
NTX3;AUTRES / Agent sur contrat emploi d'avenir (technique)
NTX4;AUTRES / Agent sur P.A.C.T.E. (technique)
NTX5;AUTRES / Agent sur contrat du parcours contractualisé d'accompagnement vers l'emploi et l'autonomie (PACEA) (technique)
SAD1;STAG. / Administrateur stagiaire
SAJ1;STAG. / Adjoint administratif stagiaire
SAJ3;STAG. / Adjoint administratif principal de 2ème classe stagiaire
SAR1;STAG. / Rédacteur stagiaire
SAR2;STAG. / Rédacteur principal de 2ème classe stagiaire
SAT1;STAG. / Attaché stagiaire
SCA1;STAG. / Attaché de conservation du patrimoine stagiaire
SCB1;STAG. / Bibliothécaire stagiaire
SCD1;STAG. / Directeur d'établissement d'enseignement artistique de 2ème catégorie stagiaire
SCD2;STAG. / Directeur d'établissement d'enseignement artistique de 1ère catégorie stagiaire
SCG1;STAG. / Assistant de conservation stagiaire
SCG2;STAG. / Assistant de conservation principal de 2ème classe stagiaire
SCH1;STAG. / Conservateur stagiaire
SCJ1;STAG. / Adjoint territorial du patrimoine stagiaire
SCJ3;STAG. / Adjoint territorial du patrimoine principal de 2ème classe stagiaire
SCM1;STAG. / Conservateur stagiaire
SCP1;STAG. / Professeur d'enseignement artistique stagiaire
SCS1;STAG. / Assistant d'enseignement artistique stagiaire
SCS2;STAG. / Assistant d'enseignement artistique principal de 2ème classe stagiaire
SEB1;STAG. / Biologiste, vétérinaire et pharmacien de classe normale stagiaire
SET1;STAG. / Technicien paramédical de classe normale stagiaire
SMB1;STAG. / Moniteur-éducateur et intervenant familial stagiaire
SMD2;STAG. / Agent spécialisé principal de 2ème classe des écoles maternelles stagiaire
SME1;STAG. / Educateur de jeunes enfants de 2nde classe stagiaire
SMM1;STAG. / Conseiller socio-éducatif stagiaire
SMP1;STAG. / Agent social stagiaire
SMP3;STAG. / Agent social principal de 2ème classe stagiaire
SMT1;STAG. / Assistant socio-éducatif de 2nde classe stagiaire
SNJ1;STAG. / Adjoint territorial d'animation stagiaire
SNJ3;STAG. / Adjoint territorial d'animation principal de 2ème classe stagiaire
SNN1;STAG. / Animateur stagiaire
SNN2;STAG. / Animateur principal de 2ème classe stagiaire
SOB1;STAG. / Infirmier en soins généraux de classe normale stagiaire
SOD1;STAG. / Médecin de 2ème classe stagiaire
SOF1;STAG. / Sage-femme de classe normale stagiaire
SOG1;STAG. / Cadre de santé de 2ème classe stagiaire
SOH1;STAG. / Psychologue de classe normale stagiaire
SOJ2;STAG. / Auxiliaire de puériculture principal de 2ème classe stagiaire
SOK2;STAG. / Auxiliaire de soins principal de 2ème classe stagiaire
SOU1;STAG. / Puéricultrice de classe normale stagiaire
SPC1;STAG. / Chef de service de police municipale stagiaire
SPG1;STAG. / Gardien-brigadier-stagiaire
SPH2;STAG. / Garde-champêtre chef stagiaire
SPU1;STAG. / Directeur de police municipale stagiaire
SRC1;STAG. / Capitaine stagiaire
SRD2;STAG. / Médecin et pharmacien de classe normale stagiaire
SRF1;STAG. / Cadre de santé de sapeurs-pompiers professionnels de 2ème classe stagiaire
SRG1;STAG. / Infirmier de classe normale stagiaire
SRH1;STAG. / Colonel stagiaire
SRL1;STAG. / Lieutenant de 2e classe stagiaire
SRL2;STAG. / Lieutenant de 1re classe stagiaire
SRS1;STAG. / Sergent stagiaire
SRU2;STAG. / Sapeur stagiaire
SRU3;STAG. / Caporal stagiaire
SSC1;STAG. / Conseiller stagiaire
SSE1;STAG. / Educateur stagiaire
SSE2;STAG. / Educateur principal stagiaire de 2ème classe
SSP3;STAG. / Opérateur qualifié stagiaire
STA2;STAG. / Adjoint technique stagiaire
STA3;STAG. / Adjoint technique principal de 2ème classe stagiaire
STH1;STAG. / Adjoint technique stagiaire
STH3;STAG. / Adjoint technique principal de 2ème classe stagiaire
STM1;STAG. / Agent de maîtrise stagiaire
STN1;STAG. / Ingénieur en chef stagiaire
STP1;STAG. / Ingénieur stagiaire
STT1;STAG. / Technicien stagiaire
STT2;STAG. / Technicien principal de 2ème classe stagiaire
TAD1;F.P.T. / Administrateur
TAD2;F.P.T. / Administrateur hors classe
TAD3;F.P.T. / Administrateur général
TAJ1;F.P.T. / Adjoint administratif
TAJ3;F.P.T. / Adjoint administratif principal de 2ème classe
TAJ4;F.P.T. / Adjoint administratif principal de 1ère classe
TAR1;F.P.T. / Rédacteur
TAR2;F.P.T. / Rédacteur principal de 2ème classe
TAR3;F.P.T. / Rédacteur principal de 1ère classe
TAS1;F.P.T. / Secrétaire de mairie
TAT1;F.P.T. / Attaché
TAT2;F.P.T. / Attaché principal
TAT3;F.P.T. / Directeur territorial
TAT4;F.P.T. / Attaché hors classe
TAU1;F.P.T. / Directeur général adjoint des services ou directeur adjoint
TAU2;F.P.T. / Directeur général des services ou directeur
TAX1;F.P.T. / Titulaire sur emploi spécifique, catégorie C
TAX2;F.P.T. / Titulaire sur emploi spécifique, catégorie B
TAX3;F.P.T. / Titulaire sur emploi spécifique, catégorie A
TAX4;F.P.T. / Titulaire sur emploi spécifique, catégorie A+
TAY1;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie C
TAY2;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie B
TAY3;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie A
TAY4;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie A+
TCA1;F.P.T. / Attaché de conservation du patrimoine
TCA2;F.P.T. / Attaché principal de conservation du patrimoine
TCB1;F.P.T. / Bibliothécaire
TCB2;F.P.T. / Bibliothécaire principal
TCD1;F.P.T. / Directeur d'établissement d'enseignement artistique de 2ème catégorie
TCD2;F.P.T. / Directeur d'établissement d'enseignement artistique de 1ère catégorie
TCG1;F.P.T. / Assistant de conservation
TCG2;F.P.T. / Assistant de conservation principal de 2ème classe
TCG3;F.P.T. / Assistant de conservation principal de 1ère classe
TCH1;F.P.T. / Conservateur
TCH2;F.P.T. / Conservateur en chef
TCJ1;F.P.T. / Adjoint territorial du patrimoine
TCJ3;F.P.T. / Adjoint territorial du patrimoine principal de 2ème classe
TCJ4;F.P.T. / Adjoint territorial du patrimoine principal de 1ère classe
TCM2;F.P.T. / Conservateur
TCM3;F.P.T. / Conservateur en chef
TCP1;F.P.T. / Professeur d'enseignement artistique de classe normale
TCP2;F.P.T. / Professeur d'enseignement artistique hors classe
TCS1;F.P.T. / Assistant d'enseignement artistique
TCS2;F.P.T. / Assistant d'enseignement artistique principal de 2ème classe
TCS3;F.P.T. / Assistant d'enseignement artistique principal de 1ère classe
TCX1;F.P.T. / Titulaire sur emploi spécifique, catégorie C
TCX2;F.P.T. / Titulaire sur emploi spécifique, catégorie B
TCX3;F.P.T. / Titulaire sur emploi spécifique, catégorie A
TCX4;F.P.T. / Titulaire sur emploi spécifique, catégorie A+
TCY1;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie C
TCY2;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie B
TCY3;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie A
TCY4;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie A+
TEB1;F.P.T. / Biologiste, vétérinaire et pharmacien de classe normale
TEB2;F.P.T. / Biologiste, vétérinaire et pharmacien hors classe
TEB3;F.P.T. / Biologiste, vétérinaire et pharmacien de classe exceptionnelle
TET1;F.P.T. / Technicien paramédical de classe normale
TET2;F.P.T. / Technicien paramédical de classe supérieure
TEX1;F.P.T. / Titulaire sur emploi spécifique, catégorie C
TEX2;F.P.T. / Titulaire sur emploi spécifique, catégorie B
TEX3;F.P.T. / Titulaire sur emploi spécifique, catégorie A
TEX4;F.P.T. / Titulaire sur emploi spécifique, catégorie A+
TEY1;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie C
TEY2;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie B
TEY3;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie A
TEY4;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie A+
THC1;F.P.T. / Collaborateur de cabinet
THW1;F.P.T. / Fonctionnaires ou non titulaires non classables dans une filière
TMB1;F.P.T. / Moniteur-éducateur et intervenant familial
TMB2;F.P.T. / Moniteur-éducateur et intervenant familial principal
TMD2;F.P.T. / Agent spécialisé principal de 2ème classe des écoles maternelles
TMD3;F.P.T. / Agent spécialisé principal de 1ère classe des écoles maternelles
TME1;F.P.T. / Educateurs de jeunes enfants de 2nde classe
TME2;F.P.T. / Educateur de jeunes enfants de 1ère classe
TME3;F.P.T. / Educateur de jeunes enfants de classe exceptionnelle
TMM1;F.P.T. / Conseiller socio-éducatif
TMM2;F.P.T. / Conseiller supérieur socio-éducatif
TMM3;F.P.T. / Conseiller hors classe socio-éducatif
TMP1;F.P.T. / Agent social
TMP3;F.P.T. / Agent social principal de 2ème classe
TMP4;F.P.T. / Agent social principal de 1ère classe
TMT1;F.P.T. / Assistant socio-éducatif de 2nde classe
TMT2;F.P.T. / Assistant socio-éducatif de 1ère classe
TMT3;F.P.T. / Assistant socio-éducatif de classe exceptionnelle
TMX1;F.P.T. / Titulaire sur emploi spécifique, catégorie C
TMX2;F.P.T. / Titulaire sur emploi spécifique, catégorie B
TMX3;F.P.T. / Titulaire sur emploi spécifique, catégorie A
TMX4;F.P.T. / Titulaire sur emploi spécifique, catégorie A+
TMY1;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie C
TMY2;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie B
TMY3;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie A
TMY4;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie A+
TNJ1;F.P.T. / Adjoint territorial d'animation
TNJ3;F.P.T. / Adjoint territorial d'animation principal de 2ème classe
TNJ4;F.P.T. / Adjoint territorial d'animation principal de 1ère classe
TNN1;F.P.T. / Animateur
TNN2;F.P.T. / Animateur principal de 2ème classe
TNN3;F.P.T. / Animateur principal de 1ère classe
TNX1;F.P.T. / Titulaire sur emploi spécifique, catégorie C
TNX2;F.P.T. / Titulaire sur emploi spécifique, catégorie B
TNX3;F.P.T. / Titulaire sur emploi spécifique, catégorie A
TNX4;F.P.T. / Titulaire sur emploi spécifique, catégorie A+
TNY1;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie C
TNY2;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie B
TNY3;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie A
TNY4;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie A+
TOA1;F.P.T. / Cadre de santé
TOB1;F.P.T. / Infirmier en soins généraux de classe normale
TOB2;F.P.T. / Infirmier en soins généraux de classe supérieure
TOB3;F.P.T. / Infirmier en soins généraux hors classe
TOC1;F.P.T. / Puéricultrice cadre de santé
TOC2;F.P.T. / Puéricultrice cadre supérieur de santé
TOD1;F.P.T. / Médecin de 2ème classe
TOD2;F.P.T. / Médecin de 1ère classe
TOD3;F.P.T. / Médecin hors classe
TOF1;F.P.T. / Sage-femme de classe normale
TOF3;F.P.T. / Sage-femme hors classe
TOG1;F.P.T. / Cadre de santé de 2ème classe
TOG2;F.P.T. / Cadre de santé de 1ère classe
TOG3;F.P.T. / Cadre supérieur de santé
TOH1;F.P.T. / Psychologue de classe normale
TOH2;F.P.T. / Psychologue hors classe
TOJ2;F.P.T. / Auxiliaire de puériculture principal de 2ème classe
TOJ3;F.P.T. / Auxiliaire de puériculture principal de 1ère classe
TOK2;F.P.T. / Auxiliaire de soins principal de 2ème classe
TOK3;F.P.T. / Auxiliaire de soins principal de 1ère classe
TON1;F.P.T. / Infirmier de classe normale
TON2;F.P.T. / Infirmier de classe supérieure
TOP1;F.P.T. / Puéricultrice de classe normale
TOP2;F.P.T. / Puéricultrice de classe supérieure
TOU1;F.P.T. / Puéricultrice de classe normale
TOU2;F.P.T. / Puéricultrice de classe supérieure
TOU3;F.P.T. / Puéricultrice hors classe
TOX1;F.P.T. / Titulaire sur emploi spécifique, catégorie C
TOX2;F.P.T. / Titulaire sur emploi spécifique, catégorie B
TOX3;F.P.T. / Titulaire sur emploi spécifique, catégorie A
TOX4;F.P.T. / Titulaire sur emploi spécifique, catégorie A+
TOY1;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie C
TOY2;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie B
TOY3;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie A
TOY4;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie A+
TPC1;F.P.T. / Chef de service de police municipale
TPC2;F.P.T. / Chef de service de police municipale principal de 2ème classe
TPC3;F.P.T. / Chef de service de police municipale principal de 1ère classe
TPG1;F.P.T. / Gardien-brigadier
TPG3;F.P.T. / Brigadier-chef principal
TPG4;F.P.T. / Chef de police municipale
TPH2;F.P.T. / Garde-champêtre chef
TPH3;F.P.T. / Garde-champêtre chef principal
TPU1;F.P.T. / Directeur de police municipale
TPU2;F.P.T. / Directeur principal de police municipale
TPX1;F.P.T. / Titulaire sur emploi spécifique, catégorie C
TPX2;F.P.T. / Titulaire sur emploi spécifique, catégorie B
TPX3;F.P.T. / Titulaire sur emploi spécifique, catégorie A
TPX4;F.P.T. / Titulaire sur emploi spécifique, catégorie A+
TPY1;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie C
TPY2;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie B
TPY3;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie A
TPY4;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie A+
TRB1;F.P.T. / Directeur départemental adjoint des services d'incendie et de secours
TRB2;F.P.T. / Directeur départemental des services d'incendie et de secours
TRC1;F.P.T. / Capitaine
TRC2;F.P.T. / Commandant
TRC3;F.P.T. / Lieutenant-colonel
TRD2;F.P.T. / Médecin et pharmacien de classe normale
TRD3;F.P.T. / Médecin et pharmacien hors classe
TRD4;F.P.T. / Médecin et pharmacien de classe exceptionnelle
TRF1;F.P.T. / Cadre de santé de sapeurs-pompiers professionnels de 2ème classe
TRF2;F.P.T. / Cadre de santé de sapeur- pompiers professionnels de 1ere classe
TRF3;F.P.T. / Cadre supérieur de santé de sapeurs pompiers professionnels
TRG1;F.P.T. / Infirmier de classe normale
TRG2;F.P.T. / Infirmier de classe supérieure
TRG3;F.P.T. / Infirmier hors classe
TRH1;F.P.T. / Colonel
TRH2;F.P.T. / Colonel hors classe
TRH3;F.P.T. / Contrôleur général
TRL1;F.P.T. / Lieutenant de 2e classe
TRL2;F.P.T. / Lieutenant de 1re classe
TRL3;F.P.T. / Lieutenant hors classe
TRS1;F.P.T. / Sergent
TRS2;F.P.T. / Adjudant
TRU2;F.P.T. / Sapeur
TRU3;F.P.T. / Caporal
TRU4;F.P.T. / Caporal-chef
TRX1;F.P.T. / Titulaire sur emploi spécifique, catégorie C
TRX2;F.P.T. / Titulaire sur emploi spécifique, catégorie B
TRX3;F.P.T. / Titulaire sur emploi spécifique, catégorie A
TRX4;F.P.T. / Titulaire sur emploi spécifique, catégorie A+
TRY1;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie C
TRY2;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie B
TRY3;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie A
TRY4;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie A+
TSC1;F.P.T. / Conseiller
TSC2;F.P.T. / Conseiller principal
TSE1;F.P.T. / Educateur
TSE2;F.P.T. / Educateur principal de 2ème classe
TSE3;F.P.T. / Educateur principal de 1ère classe
TSP2;F.P.T. / Opérateur
TSP3;F.P.T. / Opérateur qualifié
TSP4;F.P.T. / Opérateur principal
TSX1;F.P.T. / Titulaire sur emploi spécifique, catégorie C
TSX2;F.P.T. / Titulaire sur emploi spécifique, catégorie B
TSX3;F.P.T. / Titulaire sur emploi spécifique, catégorie A
TSX4;F.P.T. / Titulaire sur emploi spécifique, catégorie A+
TSY1;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie C
TSY2;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie B
TSY3;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie A
TSY4;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie A+
TTA2;F.P.T. / Adjoint technique
TTA3;F.P.T. / Adjoint technique principal de 2ème classe
TTA4;F.P.T. / Adjoint technique principal de 1ère classe
TTH1;F.P.T. / Adjoint technique
TTH3;F.P.T. / Adjoint technique principal de 2ème classe
TTH4;F.P.T. / Adjoint technique principal de 1ère classe
TTM1;F.P.T. / Agent de maîtrise
TTM2;F.P.T. / Agent de maîtrise principal
TTN1;F.P.T. / Ingénieur en chef
TTN2;F.P.T. / Ingénieur en chef hors classe
TTN3;F.P.T. / Ingénieur général
TTP1;F.P.T. / Ingénieur
TTP2;F.P.T. / Ingénieur principal
TTP3;F.P.T. / Ingénieur hors classe
TTT1;F.P.T. / Technicien
TTT2;F.P.T. / Technicien principal de 2ème classe
TTT3;F.P.T. / Technicien principal de 1ère classe
TTU1;F.P.T. / Directeur des services techniques
TTU2;F.P.T. / Directeur général des services techniques
TTX1;F.P.T. / Titulaire sur emploi spécifique, catégorie C
TTX2;F.P.T. / Titulaire sur emploi spécifique, catégorie B
TTX3;F.P.T. / Titulaire sur emploi spécifique, catégorie A
TTX4;F.P.T. / Titulaire sur emploi spécifique, catégorie A+
TTY1;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie C
TTY2;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie B
TTY3;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie A
TTY4;F.P.T. / Titulaire à temps non complet - de 17h30, catégorie A+
XAX1;AUTRES / Agent sur emploi à statut inconnu (administratif)
XCX1;AUTRES / Agent sur emploi à statut inconnu (culturel)
XEX1;AUTRES / Agent sur emploi à statut inconnu (médico-technique)
XHX1;AUTRES / Agent sur emploi à statut inconnu (hors filière)
XMX1;AUTRES / Agent sur emploi à statut inconnu (social)
XNX1;AUTRES / Agent sur emploi à statut inconnu (animation)
XOX1;AUTRES / Agent sur emploi à statut inconnu (médico-social)
XPX1;AUTRES / Agent sur emploi à statut inconnu (sécurité)
XRX1;AUTRES / Agent sur emploi à statut inconnu (incendie-secours)
XSX1;AUTRES / Agent sur emploi à statut inconnu (sportif)
XTX1;AUTRES / Agent sur emploi à statut inconnu (technique)
YYX1;AUTRES / Apprenti
YYX2;AUTRES / Elu
YYX3;AUTRES / Agent en congé de fin d'activité, retraités du cadre local
YYX4;AUTRES / Agent exerçant des activités accessoires autorisées par la réglementation sur le cumul d'emploi
YYX9;AUTRES / Autre (non classable dans les rubriques précédentes)
