code_grade_NEG;libelle_grade_neg;code_nomenclature_net_neh;libelle_NET_NEH;libelle_NEG_rempl;libelle_NET_NEH_rempl;code_NETH_rempl;caracteristique
S02653;CHEF DE PARC DE STATIONNEMENT;;;CHEF DE PARC DE STATIONNEMENT;;;FONCTIONNAIRE DES CADRES MOYENS ET DE DIRECTION CHARGE SOUS L'AUTORITE D'UN SUPERIEUR DE-LA PREPARATION ET COORDINATION DU TRAVAIL DES GAR- DIENS DE PARC DE STATIONNEMENT -L'ENCADREMENT DES AGENTS DE SERVICE -LA REDACTION DES RAPPORTS ET DIRECTIVES DU SERVICE
S02654;SOUS-CHEF DE PARC DE STATIONNEMENT;;;SOUS-CHEF DE PARC DE STATIONNEMENT;;;AGENT D'EXECUTION CHARGE DE SECONDER ET SUPPLEER LE CHEF DE PARC DE STATIONNEMENT DANS TOUTES SES ATTRIBUTIONS
S02655;CONDUCTEUR D'OFFSET;;;CONDUCTEUR D'OFFSET;;;
S02656;CONDUCTEUR OFFSET PRINCIPAL;;;CONDUCTEUR OFFSET PRINCIPAL;;;
S02657;TECHNICIEN COMPTABLE SUR MACHINE ELECTRONIQUE;;;TECHNICIEN COMPTABLE SUR MACHINE ELECTRONIQUE;;;FONCTIONNAIRE DE BASE DES CADRES MOYENS ET DE DIRECTION CHARGE SOUS L' AUTORITE D'UN SUPERIEUR DE LA PREPARATION DU TRAVAIL COMPTABLE,ADAPTA- TION DE CE TRAVAIL AUX CONTRAINTES ET EXIGENCES DE LA MACHINE ELECTRO- NIQUE,ENCADREMENT ET FORMATION DES CONDUCTEURS DE MACHINES COMPTABLES ELECTRONIQUES,COORDINATION DU TRAVAIL ENTRE SERVICES COMPTABLES TRADI- TIONNELS ET SERVICE MACHINE
S02658;CONDUCTEUR DE MACHINE COMPTABLE ELECTRONIQUE;;;CONDUCTEUR DE MACHINE COMPTABLE ELECTRONIQUE;;;
S02659;CONSEILLER POUR PERSONNES HANDICAPEES;;;CONSEILLER POUR PERSONNES HANDICAPEES;;;CHARGE D'ACCUEILLIR ET CONSEILLER PERSONNES HANDICAPEES
S02660;CHEF DE QUARTIER PRINCIPAL;;;CHEF DE QUARTIER PRINCIPAL;;;CHEF DE QUARTIER AYANT ACQUIS EXPERIENCE PROFESSIONNELLE ETENDUE.IL PEUT ETRE CHARGE ENCADREMENT CHEFS DE QUARTIER
S02661;DESSINATEUR-PROJETEUR;;;DESSINATEUR-PROJETEUR;;;CHARGE D'ETABLIR SCHEMAS,DESSINS OU PLANS,SOUS L'AUTORITE D'UN SUPE- RIEUR
S02662;DESSINATEUR-PROJETEUR PRINCIPAL;;;DESSINATEUR-PROJETEUR PRINCIPAL;;;AGENT CHARGE,SOUS AUTORITE D'UN SUPERIEUR,DE REALISER SCHEMAS,DESSIN OU PLANS DE HAUTE TECHNICITE NECESSITANT UNE PRATIQUE ET DEXTERITE PAR TICULIERE. PEUT PARTICIPER A ELABORATION DE PROJETS NEUFS,D'ENTRETIEN, ET DIRIGER TRAVAUX SUR LE TERRAIN
S02663;DIRECTEUR GENERAL ADJOINT DES SERVICES TECHNIQUES;;;DIRECTEUR GENERAL ADJOINT DES SERVICES TECHNIQUES;;;CHARGE DE SECONDER DIRECTEUR GENERAL SERVICES TECHNIQUES DANS DOMAI- NES TRADITIONNELS: ASSAINISSEMENT,NETTOIEMENT,BATIMENTS,ESPACES VERTS, SERVICES INDUSTRIELS
S02664;DIRECTEUR DE L'ECOLE MUNICIPALE DE MUSIQUE;;;DIRECTEUR DE L'ECOLE MUNICIPALE DE MUSIQUE;;;
S02665;GARDIEN DE PARC DE STATIONNEMENT;;;GARDIEN DE PARC DE STATIONNEMENT;;;AGENT CHARGE SURVEILLANCE ET GARDIENNAGE DES PARCS DE STATIONNEMENT
S02666;GARDIEN (DE PARKING, DE SQUARE);;;GARDIEN (DE PARKING, DE SQUARE);;;
S02667;INTERPRETE;;;INTERPRETE;;;CHARGE TRADUCTIONS RENDUES NECESSAIRES PAR ACTIVITES DU SERVICE DU JUMELAGE,DE L'ACCOMPAGNEMENT DES DIVERSES DELEGATIONS OU GROUPES,DE LA TRADUCTION QUASI SIMULTANEE DES DISCOURS,DES RELATIONS AVEC VILLES JU- MELLES
S02668;SECRETAIRE BILINGUE;;;SECRETAIRE BILINGUE;;;CHARGE TRADUCTIONS ET CORRESPONDANCES EN LANGUE ALLEMANDE
S02669;SECRETAIRE DE DIRECTION;;;SECRETAIRE DE DIRECTION;;;AGENT DES CADRES MOYENS ET DE DIRECTION CHARGE,SOUS AUTORITE D'UN SU PERIEUR DE LA TENUE CALENDRIERS DE RENDEZ-VOUS ET DE REUNIONS DU DIREC TEUR GENERAL SERVICES TECHNIQUES,ACCUEIL DU PUBLIC,MISE EN FORME DACTY LOGRAPHIQUE DES RAPPORTS ET LETTRES PARTICULIERES DE LA DIRECTION,PRI- SE EN COMPTE REUNIONS,TENUE FICHIERS ET CLASSEMENT,TENUE TABLEAUX STA- TISTIQUES ET DIAGRAMMES
S02670;SECRETAIRE DU SERVICE JUMELAGE-FESTIVITES;;;SECRETAIRE DU SERVICE JUMELAGE-FESTIVITES;;;FONCTIONNAIRE DES CADRES MOYENS ET DE DIRECTION CHARGE,SOUS AUTORITE D'UN SUPERIEUR-DE LA PREPARATION ET COORDINATION DES AGENTS DU SERVICE -DE LEUR ENCADREMENT -RELATIONS AVEC VILLES JUMELLES,ADMINISTRATIONS,ASSOCIA- TIONS,GROUPEMENTS -ORGANISATION VOYAGES,SEJOURS,RECEPTIONS,CEREMONIES -TENUE ET MISE A JOUR DES PROTOCOLES D'INVITATION
S02671;SECRETAIRE ADMINISTRATIF DU CORPS DE POLICE AUXILIAIRE;;;SECRETAIRE ADMINISTRATIF DU CORPS DE POLICE AUXILIAIRE;;;FONCTIONNAIRE DE BASE ET DES CADRES MOYENS DE DIRECTION CHARGE,SOUS AU TORITE D'UN SUPERIEUR DE PREPARATION ET COORDINATION AGENTS DE SERVICE DE ENREGISTREMENT ET TRANSMISSION PROCES-VERBAUX,ENCADREMENT DES SURVEILLANTS ET AGENTS CONTRACTUELS,TENUE REGISTRES ET FICHIERS CONTREVENANTS ET PROCES-VERBAUX,REDACTION RAPPORTS ET DIRECTIVES CONCERNANT LE SERVICE,RELATIONS AVEC SERVICES POLICE,GENDARMERIE ET SERVICE CARTES GRISES
S02672;SECRETAIRE POLYVALENT;;;SECRETAIRE POLYVALENT;;;AGENT DES CADRES MOYENS ET DE DIRECTION CHARGE SOUS AUTORITE D'UN SU PERIEUR DE MISSIONS PARTICULIERES LIEES A ENQUETE,RAPPORT ,TACHE PONC- TUELLE URGENTE,CREATION DE TRAVAIL RENDANT INDISPENSABLE UN RENFORT TEMPORAIRE DANS UN SERVICE. PEUT ETRE CHARGE D'ENCADREMENT
S02673;SECRETAIRE DE DIRECTION;;;SECRETAIRE DE DIRECTION;;;CHARGE-TENUE DES CALENDRIERS DE RENDEZ-VOUS ET DE REUNIONS DU MAIRE ET DES CHARGES DE MISSION -ACCUEIL DU PUBLIC -PRISE DE COMPTE-RENDU DES REUNIONS -TENUE ET CLASSEMENT DOSSIERS DU MAIRE
S02674;AGENT DE POLICE PORTUAIRE;;;AGENT DE POLICE PORTUAIRE;;;
S02675;ADMINISTRATEUR DE LA MAISON DU TEMPS LIBRE ET GESTIONNAIRE AFFAIRES CULTURELLES;;;ADMINISTRATEUR DE LA MAISON DU TEMPS LIBRE ET GESTIONNAIRE AFFAIRES CULTURELLES;;;ADMINISTRER LA MAISON DU TEMPS LIBRE ET COORDONNER LES AFFAIRES CUL- TURELLES DE LA COMMUNE
S02676;CHEF DE CABINET;;;CHEF DE CABINET;;;RECEPTION DES DOLEANCES DU PUBLIC,AFIN DE FACILITER ET GUIDER LES CHOIX D'ACTIONS LES PLUS ADAPTES AUX BESOINS DES USAGERS
S02677;AGENT DE SERVICE REGIONAL;;;AGENT DE SERVICE REGIONAL;;;
S02678;AGENT PRINCIPAL REGIONAL;;;AGENT PRINCIPAL REGIONAL;;;
S02679;CHAUFFEUR REGIONAL DE DEUXIEME CATEGORIE;;;CHAUFFEUR REGIONAL DE DEUXIEME CATEGORIE;;;
S02680;CHEF DE GARAGE REGIONAL;;;CHEF DE GARAGE REGIONAL;;;
S02681;COMMIS REGIONAL;;;COMMIS REGIONAL;;;
S02682;HOTESSE D'ACCUEIL REGIONALE;;;HOTESSE D'ACCUEIL REGIONALE;;;
S02683;OUVRIER PROFESSIONNEL REGIONAL DE PREMIERE CATEGORIE;;;OUVRIER PROFESSIONNEL REGIONAL DE PREMIERE CATEGORIE;;;
S02684;OUVRIER PROFESSIONNEL REGIONAL DE DEUXIEME CATEGORIE;;;OUVRIER PROFESSIONNEL REGIONAL DE DEUXIEME CATEGORIE;;;
S02685;SECRETAIRE STENODACTYLOGRAPHE REGIONAL;;;SECRETAIRE STENODACTYLOGRAPHE REGIONAL;;;
S02686;STANDARDISTE REGIONALE;;;STANDARDISTE REGIONALE;;;
S02687;STENODACTYLOGRAPHE REGIONAL;;;STENODACTYLOGRAPHE REGIONAL;;;
S02688;HOTESSE PRINCIPALE;;;ADJOINT TECHNIQUE PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Adjoint technique principal de 2ème classe;TTH3;"CHARGEE SURVEILLANCE ET FONCTIONNEMENT DES DIVERS CLUBS DU QUARTIER COORDINNATION ENTRE ADMINISTRATION ET CLUBS L'INTEGRATION AU GRADE D'""AGENT TECHNIQUE QUALIFIE"" EST EFFECTIVE AU 01 06 1988, MAIS POUR DES RAISONS PRATIQUES, CELA N'APPARAIT SUR NEG QU'AU 01 08 92 ( AUCUNE INCIDENCE FINANCIERE )"
S02689;CONSEILLER SOCIAL;;;CONSEILLER SOCIAL;;;
S02690;DIRECTEUR DE RESIDENCE FOYER;;;DIRECTEUR DE RESIDENCE FOYER;;;
S02691;COMMIS SURVEILLANT;;;COMMIS SURVEILLANT;;;
S02692;CUISINIER;;;CUISINIER;;;
S02693;AIDE CUISINIER;;;AIDE CUISINIER;;;
S02694;DIRECTEUR DE FOYER RESIDENCE;;;DIRECTEUR DE FOYER RESIDENCE;;;DIRECTION + TACHE ADMINISTRATIVE ET FINANCIERE
S02695;FEMME DE SERVICE;;;FEMME DE SERVICE;;;
S02696;CUISINIER;;;CUISINIER;;;
S02697;BUANDIERE;;;BUANDIERE;;;
S02698;ANIMATEUR RESPONSABLE DU SERVICE D'ACCUEIL ET D'INFORMATIONS;;;ANIMATEUR RESPONSABLE DU SERVICE D'ACCUEIL ET D'INFORMATIONS;;;
S02699;RESPONSABLE GESTIONNAIRE;;;RESPONSABLE GESTIONNAIRE;;;
S02700;SECRETAIRE DU BUREAU D'AIDE SOCIALE;;;SECRETAIRE DU BUREAU D'AIDE SOCIALE;;;
S02701;CHARGE D'ETUDES EN AMENAGEMENT OU URBANISME;;;CHARGE D'ETUDES EN AMENAGEMENT OU URBANISME;;;AGENT SUPERIEUR CHARGE DE LA CONDUITE DES TRAVAUX
S02702;CONSEILLERE EN ECONOMIE SOCIALE ET FAMILIALE;;;CONSEILLERE EN ECONOMIE SOCIALE ET FAMILIALE;;;-CHARGEE DE L ANIMATION DU CENTRE SOCIAL
S02703;PROFESSEUR A L'ECOLE MUNICIPALE DE MUSIQUE;;;PROFESSEUR A L'ECOLE MUNICIPALE DE MUSIQUE;;;-18 HEURES DE COURS HEBDOMADAIRES
S02704;DIRECTEUR DE L'ECOLE MUNICIPALE DE MUSIQUE;;;DIRECTEUR DE L'ECOLE MUNICIPALE DE MUSIQUE;;;- CHARGE D'ASSURER UN ENSEIGNEMENT DE FORMATION MUSICALE OU INSTRUMENTALE,LA DIRECTION ADMINISTRATIVE ET PEDAGOGIQUE DE L'ECOLE DE MUSIQUE, D'ORGANISER ET DIRIGER DES ENSEMBLES ET UN ORCHESTRE,DE PARTICIPER A LA VIE MUSICALE LOCALE
S02705;CHARGE D'ETUDES EN URBANISME;;;CHARGE D'ETUDES EN URBANISME;;;
S02706;ARCHITECTE URBANISTE EN CHEF;;;ARCHITECTE URBANISTE EN CHEF;;;
S02707;DIRECTEUR DE L'ECOLE MUNICIPALE DE MUSIQUE;;;DIRECTEUR DE L'ECOLE MUNICIPALE DE MUSIQUE;;;
S02708;PROFESSEUR DE L'ECOLE MUNICIPALE DE MUSIQUE;;;PROFESSEUR DE L'ECOLE MUNICIPALE DE MUSIQUE;;;
S02709;SURVEILLANT DE PORT;;;SURVEILLANT DE PORT;;;
S02710;ASSISTANT D'ETUDES EN AMENAGEMENT OU EN URBANISME;;;INGENIEUR (SUBDIVISIONNAIRE);Ingénieur;TTP1;
S02711;PROFESSEUR D'ECOLE MUNICIPALE DE MUSIQUE;;;PROFESSEUR D'ECOLE MUNICIPALE DE MUSIQUE;;;-ENSEIGNEMENT -ADMINISTRATION
S02712;DIRECTEUR DU CENTRE DE LOISIRS;;;DIRECTEUR DU CENTRE DE LOISIRS;;;
S02713;OPERATEUR;;;OPERATEUR;;;-AFFECTE AUX TACHES DE TRAITEMENT DE LA COMPTABILITE ET DES SALAIRES PAR MOYEN INFORMATIQUE
S02714;AUXILIAIRE SANITAIRE;;;AUXILIAIRE SANITAIRE;;;
S02715;DIRECTEUR DE FOYER LOGEMENT;;;DIRECTEUR DE FOYER LOGEMENT;;;-CHARGE DE LA PREPARATION ET LE SUIVI DE L EXECUTION DU BUDGET LA COMPTABILITE GENERALE LA GESTION ET L ENCADREMENT DU PERSONNEL LA RESTAURATION ET L INTENDANCE L ACCUEIL LE SECRETARIAT ET L INSTRUCTION DES DOSSIERS D AIDE SOCIALE
S02716;VEILLEUSE DE NUIT;;;VEILLEUSE DE NUIT;;;
S02717;ASSISTANT PRINCIPAL;;;ASSISTANT PRINCIPAL;;;
S02718;OUVRIER D'ENTRETIEN;;;OUVRIER D'ENTRETIEN;;;
S02719;CONDUCTEUR SPECIALISE POLYVALENT;;;CONDUCTEUR SPECIALISE POLYVALENT;;;
S02720;DIRECTEUR DU SYNDICAT;;;DIRECTEUR DU SYNDICAT;;;
S02721;PROFESSEUR DU CONSERVATOIRE DE MUSIQUE;;;PROFESSEUR DU CONSERVATOIRE DE MUSIQUE;;;-FONCTIONNAIRE CHARGE D UN ENSEIGNEMENT PORTANT SUR LA MUSIQUE -20 HEURES DE COURS PAR SEMAINE
S02722;DIRECTEUR DU CONSERVATOIRE DE MUSIQUE;;;DIRECTEUR DU CONSERVATOIRE DE MUSIQUE;;;-FONCTIONNAIRE SUPERIEUR AUQUEL INCOMBE L ORGANISATION PEDAGOGIQUE ET ADMINISTRATIVE DE L ETABLISSEMENT -IL PEUT ETRE LUI MEME CHARGE D ENSEIGNEMENT A RAISON DE 39 HEURES PAR SEMAINE
S02723;CHARGE D'OPERATIONS D'AMENAGEMENT URBAIN;;;CHARGE D'OPERATIONS D'AMENAGEMENT URBAIN;;;
S02724;ACHETEUR;;;ACHETEUR;;;
S02725;CHARGE D'OPERATIONS ECONOMIQUES;;;CHARGE D'OPERATIONS ECONOMIQUES;;;-CHARGE D ASSURER LE MONTAGE JURIDIQUE ET LE SUIVI FINANCIER D OPERATIONS ECONOMIQUES ET D EFFECTUER DES ETUDES FINANCIERES ET DES RECHERCHES SUR LE TISSU ECONOMIQUE DE LA COMMUNE TANT EN MATIERE D ACTIVITE QUE D EMPLOI ET D ASSURER DES CONTROLES DE GESTION
S02726;ANIMATEUR FORMATEUR;;;ANIMATEUR FORMATEUR;;;-CHARGE DE CONDUIRE LA REFORME DU MODE DE TRAITEMENT DE LA FORMATION EN VIGUEUR AU SEIN DES SERVICES MUNICIPAUX
S02727;SURVEILLANT DE L'HOTEL DE VILLE;;;SURVEILLANT DE L'HOTEL DE VILLE;;;
S02728;SURVEILLANT CHEF DE L'HOTEL DE VILLE;;;SURVEILLANT CHEF DE L'HOTEL DE VILLE;;;
S02729;PROJETEUR;;;INGENIEUR (SUBDIVISIONNAIRE);Ingénieur;TTP1;-CHARGE DE CONCRETISER ET DETAILLER LES ESQUISSES ET AVANTS PROJETS SOMMAIRES. -IL PEUT ASSURER LA SURVEILLANCE ET LA DIRECTION D'UN CHANTIER.
S02730;MEDECIN INSPECTEUR DE L'HYGIENE DU TRAVAIL DE PREMIERE CATEGORIE;;;MEDECIN INSPECTEUR DE L'HYGIENE DU TRAVAIL DE PREMIERE CATEGORIE;;;
S02731;MEDECIN INSPECTEUR DE L'HYGIENE DU TRAVAIL DEUXIEME CATEGORIE;;;MEDECIN INSPECTEUR DE L'HYGIENE DU TRAVAIL DEUXIEME CATEGORIE;;;- CHARGE D INTERVENIR SUR LE PLAN MEDICAL SUR LES CONDITIONS DE TRAVAIL ET LA SECURITE
S02732;DIRECTEUR ADJOINT AU CONSERVATOIRE NATIONAL DE REGION;;;DIRECTEUR ADJOINT AU CONSERVATOIRE NATIONAL DE REGION;;;-IL ASSUME LA DIRECTION DU CONSERVATOIRE CONJOINTEMENT AVEC LE DIREC- TEUR.
S02733;AIDE TECHNIQUE NATURALISTE;;;AIDE TECHNIQUE NATURALISTE;;;-CHARGE DE LA PREPARATION,DE L ENTRETIEN,DE LA CONSERVATION DES COLLEC TIONS ZOOLOGIQUES,BOTANIQUES,GEOLOGIQUES
S02734;CONSEILLER D'ADMINISTRATION;;;CONSEILLER D'ADMINISTRATION;;;
S02735;TECHNICIEN NATURALISTE;;;TECHNICIEN NATURALISTE;;;-CHARGE DE LA CONSERVATION ET DE LA PREPARATION ARTISTIQUE DES COLLEC- TIONS,DE L ENSEIGNEMENT DES TECHNIQUES TAXIDERMIQUES,ANATOMIQUES,NATU- RALISTES AU PERSONNEL PREPARATEUR.
S02736;TECHNICIEN NATURALISTE PRINCIPAL;;;TECHNICIEN NATURALISTE PRINCIPAL;;;
S02737;ADMINISTRATEUR COMMUNAL DELEGUE A L'ANIMATION;;;ADMINISTRATEUR COMMUNAL DELEGUE A L'ANIMATION;;;-CHARGE DE FONCTIONS D ENCADREMENT ET D ETUDES COMPORTANT DES RESPONSA BILITES PARTICULIERES. -PLACE A LA TETE DE L ENSEMBLE DES SERVICES COMPOSANT LE SECTEUR ANIMA TION:EDUCATION,SPORT PLEIN AIR,CULTUREL,SOCIO-EDUCATIF,SANTE. -ASSURE LA MISE EN OEUVRE DES MOYENS NECESSAIRES A L APPLICATION DES POLITIQUES MUNICIPALES DANS CES DOMAINES. -IL DEVELOPPE TOUTES ETUDES ET RECHERCHES NECESSAIRES
S02738;SURVEILLANT PRINCIPAL ECOLE DES ARTS DECORATIFS ET CONSERVATOIRE NATIONAL DE REGION;;;SURVEILLANT PRINCIPAL ECOLE DES ARTS DECORATIFS ET CONSERVATOIRE NATIONAL DE REGION;;;- CHARGE DE LA SURVEILLANCE DES DEUX ETABLISSEMENTS , DE L'ACCUEIL DES ELEVES , DE LA CONSTITUTION ET DU SUIVI DE FICHIERS , ENTRETIEN , RANGEMENT ET CLASSEMENT D'OUVRAGES ET DE DIAPOSITIVES , ATTRIBUTIONS LIEES AUX INSCRIPTIONS EN DEBUT D'ANNEES SCOLAIRES AINSI QU'AUX EXAMENS ET CONCOURS
S02739;SURVEILLANT A L'ECOLE DES ARTS DECORATIFS ET AU CONSERVATOIR NATIONAL DE REGION;;;SURVEILLANT A L'ECOLE DES ARTS DECORATIFS ET AU CONSERVATOIR NATIONAL DE REGION;;;- CHARGE DE LA SURVEILLANCE DES DEUX ETABLISSEMENTS , DE L'ACCUEIL ELEVES , DE LA CONSTITUTION ET DU SUIVI DE FICHIERS , ENTRETIEN , RANGEMENT , CLASSEMENT D'OUVRAGES ET DE DIAPOSITIVES , ATTRIBUTIONS LIEES AUX INSCRIPTIONS EN DEBUT D'ANNEES SCOLAIRES ET AUX EXAMENS ET CONCOURS
S02740;DIRECTEUR DES AFFAIRES CULTURELLES;;;DIRECTEUR DES AFFAIRES CULTURELLES;;;-MISSION DE COORDINATION: CHARGE DE PROCEDER A DES TACHES D EVALUATION ET DE LA MISE EN PLACE DE PROJETS NOUVEAUX ET D ETABLIR LE DIALOGUE AVEC LES ASSOCIATIONS,LA REGION ET L ETAT
S02741;PROFESSEURS SPECIAUX DE CHANT ET D EDUCATION PHYSIQUE DES ECOLES COMMUNALES;;;PROFESSEUR D'EDUCATION PHYSIQUE DES ECOLES PRIMAIRES;;;
S02742;METREUR AU SERVICE TECHNIQUE;;;METREUR AU SERVICE TECHNIQUE;;;
S02743;RESTAURATEUR;;;RESTAURATEUR;;;
S02744;DIRECTEUR ADJOINT DES SERVICES TECHNIQUES;;;DIRECTEUR ADJOINT DES SERVICES TECHNIQUES;;;
S02745;COORDONNATEUR;;;COORDONNATEUR;;;-CHARGE DE GERER L EQUIPEMENT,DE COORDONNER LE FONCTIONNEMENT DES DIFFERENTS SERVICES ET DE CREER LES ANIMATIONS SOUHAITEES PAR LES USAGERS
S02746;DIRECTEUR D'EQUIPEMENT CULTUREL;;;DIRECTEUR D'EQUIPEMENT CULTUREL;;;
S02747;CHARGE D'INFORMATION;;;CHARGE D'INFORMATION;;;
S02748;CHARGE DE L'INFORMATION ET DES AFFAIRES CULTURELLES;;;CHARGE DE L'INFORMATION ET DES AFFAIRES CULTURELLES;;;
S02749;DIRECTEUR D'ECOLE DE MUSIQUE DE DEUXIEME CATEGORIE;;;DIRECTEUR D'ECOLE DE MUSIQUE DE DEUXIEME CATEGORIE;;;
S02750;ANIMATEUR OPTION NATURE;;;ANIMATEUR OPTION NATURE;;;
S02751;CHARGE DE L'AUDIO VISUEL ET DE LA COMMUNICATION;;;CHARGE DE L'AUDIO VISUEL ET DE LA COMMUNICATION;;;
S02752;MAITRESSE DE MAISON;;;MAITRESSE DE MAISON;;;-CHARGEE D ASSURER LA DIRECTION ET LA GESTION DU CENTRE D ACCUEIL DE STAGES ET DE SEMINAIRES
S02753;COORDONNATEUR VERIFICATEUR DES TRAVAUX COMMUNAUX ET DES INSTALLATIONS SPORTIVES;;;COORDONNATEUR VERIFICATEUR DES TRAVAUX COMMUNAUX ET DES INSTALLATIONS SPORTIVES;;;
S02754;GARDIEN DE GYMNASE;;;GARDIEN DE GYMNASE;;;
S02755;RECEVEUR DES DROITS D'ENTREE;;;RECEVEUR DES DROITS D'ENTREE;;;-CHARGE DES ENTREES DE LA PISCINE
S02756;DIRECTEUR DU SERVICE DES SPORTS;;;DIRECTEUR DU SERVICE DES SPORTS;;;-RESPONSABLE DE L ENSEMBLE DES ACTIVITES SPORTIVES DE LA COMMUNE,TANT DANS LE DOMAINE DE LA GESTION DES INSTALLATIONS SPORTIVES QUE DANS CELUI DE L ANIMATION
S02757;DIRECTEUR DE L'ECOLE MUNICIPALE DE MUSIQUE DE MOINS DE 300 ELEVES;;;DIRECTEUR DE L'ECOLE MUNICIPALE DE MUSIQUE DE MOINS DE 300 ELEVES;;;
S02758;DIRECTRICE DE CENTRE SOCIAL;;;DIRECTRICE DE CENTRE SOCIAL;;;
S02759;EDUCATEUR SPECIALISE;;;EDUCATEUR SPECIALISE;;;
S02760;DIRECTEUR DE L'ECOLE MUNICIPALE DE MUSIQUE DE MOINS DE 300 ELEVES;;;DIRECTEUR DE L'ECOLE MUNICIPALE DE MUSIQUE DE MOINS DE 300 ELEVES;;;
S02761;RESPONSABLE DU SERVICE EMPLOI FORMATION;;;RESPONSABLE DU SERVICE EMPLOI FORMATION;;;
S02762;CHARGE DE MISSION TECHNIQUE;;;CHARGE DE MISSION TECHNIQUE;;;
S02763;RESPONSABLE DU SERVICE JEUNESSE;;;RESPONSABLE DU SERVICE JEUNESSE;;;
S02764;RESPONSABLE DU SERVICE SPORT CULTURE;;;RESPONSABLE DU SERVICE SPORT CULTURE;;;
S02765;PROFESSEUR DE FORMATION MUSICALE A L'ECOLE MUNICIPALE DE MUSIQUE;;;PROFESSEUR DE FORMATION MUSICALE A L'ECOLE MUNICIPALE DE MUSIQUE;;;-CHARGE DE SECONDER LE DIRECTEUR ET DE COORDONNER LE TRAVAIL DES ADJOINTS D ENSEIGNEMENTS.
S02766;ECONOME DE COLLECTIVITE;;;ECONOME DE COLLECTIVITE;;;
S02767;DIRECTEUR DU DEPARTEMENT DE LA COMMUNICATION (*);;;DIRECTEUR DU DEPARTEMENT DE LA COMMUNICATION (*);;;EMPLOI MIS EN INSTINCTION CAR 1 SEUL AGENT SUR CET EMPLOI QUI N A PU ETRE INTEGRE DANS LA FILIERE ADMINISTRATIVE ET QUI EST RADIE DES CADRES LE 1ER JUILLET 2001
S02768;MAQUETTISTE;;;MAQUETTISTE;;;
S02769;ANIMATEUR;;;ANIMATEUR;;;
S02770;DIRECTEUR DE L'ECOLE MUNICIPALE DE MUSIQUE DE MOINS DE 300 ELEVES;;;DIRECTEUR DE L'ECOLE MUNICIPALE DE MUSIQUE DE MOINS DE 300 ELEVES;;;- CHARGE DE L ORGANISATION PEDAGOGIQUE ET ADMINISTRATIVE DE L'ETABLISSEMENT - IL PEUT ETRE CHARGE DE COURS ET NOTAMMENT DE LA CLASSE D ORCHESTRE - IL EST LE RESPONSABLE PRINCIPAL DES ACTIVITES MUSICALES DE LA VILLE
S02771;DIRECTEUR DE L'ECOLE DE MUSIQUE DE MOINS DE 300 ELEVES;;;DIRECTEUR DE L'ECOLE DE MUSIQUE DE MOINS DE 300 ELEVES;;;- MOINS DE 10 DISCIPLINES
S02772;ASSISTANT D'ETUDES EN AMENAGEMENT ET EN URBANISME;;;INGENIEUR (SUBDIVISIONNAIRE);Ingénieur;TTP1;
S02773;EDUCATRICE DE JEUNES ENFANTS;;;EDUCATRICE DE JEUNES ENFANTS;;;
S02774;CHARGE DE L'INFORMATION;;;CHARGE DE L'INFORMATION;;;-CHARGE DU FONCTIONNEMENT DE L OFFSET,DU LABO PHOTOS ET DE LA REGIE PUBLICITAIRE DANS LES PUBLICATIONS COMMUNALES
S02775;GARDIEN DE GYMNASE;;;GARDIEN DE GYMNASE;;;
S02776;DIRECTEUR DE L'ECOLE DE MUSIQUE DE MOINS DE 300 ELEVES;;;DIRECTEUR DE L'ECOLE DE MUSIQUE DE MOINS DE 300 ELEVES;;;- DUREE HEBDOMADAIRE DE SERVICES : 39 HEURES
S02777;CONCIERGE;;;CONCIERGE;;;-GARDIEN DE PISCINE ET DES INSTALLATIONS SPORTIVES
S02778;CHARGE D'ETUDES;;;CHARGE D'ETUDES;;;
S02779;CHARGE D'ETUDES EN AMENAGEMENT ET EN URBANISME;;;INGENIEUR PRINCIPAL (CHEF);Ingénieur principal;TTP2;
S02780;CHARGE D'ETUDES PRINCIPAL EN AMENAGEMENT OU EN URBANISME;;;CHARGE D'ETUDES PRINCIPAL EN AMENAGEMENT OU EN URBANISME;;;
S02781;DIRECTEUR DE L'ECOLE DE MUSIQUE DE 300 ELEVES;;;DIRECTEUR DE L'ECOLE DE MUSIQUE DE 300 ELEVES;;;- FONCTIONNAIRE SUPERIEUR AUQUEL INCOMBE L ORGANISATION PEDAGOGIQUE ET ADMINISTRATIVE DE L ETABLISSEMENT IL EST LE RESPONSABLE PRINCIPAL DES ACTIVITES MUSICALES DE LA VILLE - 10 DISCIPLINES-
S02782;CHARGE DE MISSION;;;CHARGE DE MISSION;;;-CHARGE DU P.O.S. ET DES DOSSIERS D EQUIPEMENT,DES PROBLEMES ECONOMI- QUES,DE L INFORMATISATION DES SERVICES DE LA MAIRIE,DES DOSSIERS CULTU RELS ET D ANIMATION.
S02783;RESPONSABLE DU SECTEUR SOCIAL ET D'ANIMATION;;;RESPONSABLE DU SECTEUR SOCIAL ET D'ANIMATION;;;-RESPONSABLE DU CENTRE SOCIO CULTUREL. -COORDINATEUR DES SERVICES DE LA D.A.S.S. ET DE LA C.A.F. ET JEUNESSE ET SPORTS. -RESPONSABLE DE L ANIMATION GLOBALE DE LA COMMUNE.
